,RID,aspects,original,sentences
258,59,0,"
Its a rare occasion wherein you have a 5 star hotel serving only vegetarian in the menu and that too of so many varieties.it was my second time with a friend and we had a wonderful time..ambiance is nice..since big we can have our own space..staff are courteous always welcoming you with a smile.hospitality is very good.you can spend hours together without any disturbance with unlimited veg food to be consumed.will definitely be back..cost is a bit expensive side for the buffet dinner available but I guess worth the money spent.",rare occasion wherein 5 star hotel serving vegetarian menu many varieties.it second time friend wonderful time..ambiance nice..since big space..staff courteous always welcoming smile.hospitality good.you spend hours together without disturbance unlimited veg food consumed.will definitely back..cost bit expensive side buffet dinner available guess worth money spent .
259,59,0,"keep up the good service.
",keep good service .
260,60,-1,"
The Food was just delicious in every sense, the proper presentation of food even made it more mouth watering.","food delicious every sense , proper presentation food even made mouth watering ."
261,60,0,The breakfast buffet was the best I have ever had.,breakfast buffet best ever .
262,60,0,"The juices and the breads were fresh, the food was tasty, the cakes and other sweets were just the cherry on the cake.","juices breads fresh , food tasty , cakes sweets cherry cake ."
263,60,0,"I would love to visit once more.
",would love visit .
264,61,0,"
Had a lunch get together on my Kid`s Birthday at Country Inn, Sahibabad.","lunch get together kid`s birthday country inn , sahibabad ."
265,61,0,64/6 restaurant offers a superb lunch buffer with >40options.. Staff is very friendly and they are quick in service.,64/6 restaurant offers superb lunch buffer > 40options.. staff friendly quick service .
266,61,0,You can get good bargains on Groupon or other online sites for lunch buffer.,get good bargains groupon online sites lunch buffer .
267,61,2,"Please keep in mind that this is pure Veg restaurant..
",please keep mind pure veg restaurant..
268,62,0,"
Have been to this place umpteen times for stay, for functions and for dining.","place umpteen times stay , functions dining ."
269,62,2,The hotel is a 100% vegetarian place with the basement restaurant serving Buffet with elaborate menu.,hotel 100 % vegetarian place basement restaurant serving buffet elaborate menu .
270,62,0,"the dishes served are unique in style and preparations.Rooms are well maintained however the noise of weddings and events being held do penetrate into rooms and the amount of human traffic in hotel is amazingly high due to several weddings being hosted in various parts of hotel.
",dishes served unique style preparations.rooms well maintained however noise weddings events held penetrate rooms amount human traffic hotel amazingly high due several weddings hosted various parts hotel .
271,63,0,"
A very nice place for all staying lovers ,corporate travelers and all sort of funactions can be arranged here.
","nice place staying lovers , corporate travelers sort funactions arranged ."
272,64,0,"
Country Inn at Sahibabad, the only five star vegetarian Hotel in India is a good otel to stay and dine.","country inn sahibabad , five star vegetarian hotel india good otel stay dine ."
273,64,0,The rooms are spacious and nicely done.,rooms spacious nicely done .
274,64,2,"The food offered in their various restaurants are awesome, delicious and provide a large options in vegetarian meals.","food offered various restaurants awesome , delicious provide large options vegetarian meals ."
275,64,0,One can not get such a large variety of vegetarian meals in any other hotel elsewhere.,one get large variety vegetarian meals hotel elsewhere .
276,64,0,We enjoyed staying in the hotel while attending one of the wedding.,enjoyed staying hotel attending one wedding .
277,64,0,All the arrangements by the hotel have been wonderful.,arrangements hotel wonderful .
278,64,2,"Buffet breakfast in the basement level restaurant was well spread and delicious.
",buffet breakfast basement level restaurant well spread delicious .
279,65,-1,"
The Place is just average.",place average .
280,65,0,No view from inside.,view inside .
281,65,0,It is ironical that there is no pacca boundrywall on the outside.,ironical pacca boundrywall outside .
282,65,0,It is just opposite then what should it be.,opposite .
283,65,0,walls are blunt.,walls blunt .
284,65,-1,Food average.,food average .
285,65,0,Service average.,service average .
286,65,0,Nothing to be excited about.,nothing excited .
287,65,0,"Only good thing is valet parking.
",good thing valet parking .
288,66,0,"
One of the best veg food available for the hygiene atmosphere.i lover, , ambience is very nice service has to be improved, clean washrooms.
","one best veg food available hygiene atmosphere.i lover , , ambience nice service improved , clean washrooms ."
289,67,0,"
I have booked via goibibo, got good discount.","booked via goibibo , got good discount ."
290,67,0,stay was cool.Complementary breakfast was buffet.,stay cool.complementary breakfast buffet .
291,67,2,"while only Vegetarian restaurant
",vegetarian restaurant
292,68,2,"
The food tastes great and even if they offer vegetarian food they offer many varieties in the buffet there are also live corners etc.
",food tastes great even offer vegetarian food offer many varieties buffet also live corners etc .
293,69,-1,"
The buffet has a wide range of items and the food is nice.",buffet wide range items food nice .
294,69,0,It is a pure vegetarian hotel so a no non-vegetarian can definitely feel out of way.,pure vegetarian hotel non-vegetarian definitely feel way .
295,69,-1,But I definitely like it for the taste and quality of veg food.,definitely like taste quality veg food .
296,69,0,"The service is also fast and the staff helpful.
",service also fast staff helpful .
297,70,0,"
Rooms Good, Food OK but only Veg .. Nice propertyPoor customer dealing in case of any differences, unlike 4/5 star Property.Even though the room was pre-booked with full advance payment they insisted on advance money or blocking.While checkout their house keeping found that two BL Whiskey miniature bottles seal was broken and reception wanted to charge to us...we felt unfair as we had nothing to do with it..no vain !Lots of arguments, calling in different level of managers like Duty Manager Vijay Shaswat, Housekeeping Manager Ali, and Amit Singh, they were of no support or any level of understanding.","rooms good , food ok veg .. nice propertypoor customer dealing case differences , unlike 4/5 star property.even though room pre-booked full advance payment insisted advance money blocking.while checkout house keeping found two bl whiskey miniature bottles seal broken reception wanted charge us ... felt unfair nothing it..no vain ! lots arguments , calling different level managers like duty manager vijay shaswat , housekeeping manager ali , amit singh , support level understanding ."
298,70,0,They were singing the synchronized team they check each room before and after guest’s checks in.We finally settled by paying only for one BL Whiskey miniature bottle on the point that a) there could be a human error from hotels end 2) Their request that somebody from staff has to pay for the loss if we don’t pay.,singing synchronized team check room guest’s checks in.we finally settled paying one bl whiskey miniature bottle point ) could human error hotels end 2 ) request somebody staff pay loss don’t pay .
299,70,0,"3) We were made to sign on a document stating that we refused pay for one bottle…we did sign but with the statement that we were forced to pay !My suggestions to future travelers:Check bottle seals before you check in to such hotels rooms, ask housekeeping to take back what you don’t need.","3 ) made sign document stating refused pay one bottle…we sign statement forced pay ! suggestions future travelers : check bottle seals check hotels rooms , ask housekeeping take back don’t need ."
300,70,0,Avoid such properties where their managers are not trained or authorized to take out of way decisions.,avoid properties managers trained authorized take way decisions .
301,70,0,"Here I faced aggressive or helpless managers, resulted in wastage of time, embarrassment and un-necessary stress.
","faced aggressive helpless managers , resulted wastage time , embarrassment un-necessary stress ."
302,71,0,"
We went there in December last year.",went december last year .
303,71,-1,It's an amazing property by Carlson group of hotels.,amazing property carlson group hotels .
304,71,0,I felt staff very courteous.,felt staff courteous .
305,71,0,It felt like all eyes were gazing at Customers to satisfy and engage them.,felt like eyes gazing customers satisfy engage .
306,71,-1,It's a beautiful property; the restaurant is very spacious.,beautiful property ; restaurant spacious .
307,71,0,The buffet at the time of dinner had vast variety of food especially desert.,buffet time dinner vast variety food especially desert .
308,71,2,Though hotel served only vegetarian food but the chef had made a few dishes which may fulfill absence of non-vegetarian food.,though hotel served vegetarian food chef made dishes may fulfill absence non-vegetarian food .
309,71,0,"The music, aroma in hotel lobby and restaurant was nice.","music , aroma hotel lobby restaurant nice ."
310,71,-1,A perfect place.,perfect place .
311,71,0,"If I ever have an opportunity to visit I will definitely go.
",ever opportunity visit definitely go .
312,72,0,"
Many a times I have been to this hotel.",many times hotel .
313,72,0,I have always found it good in almost every sense.,always found good almost every sense .
314,72,0,"Good spacious rooms, nice pool , polite staff and good decor.","good spacious rooms , nice pool , polite staff good decor ."
315,72,0,"In spite of being a non-vegetarian, I like this 'perhaps the only vegetarian 5star hotel' .","spite non-vegetarian , like perhaps vegetarian 5star hotel ' ."
316,72,0,Two changes I noticed this time .,two changes noticed time .
317,72,0,The positive change was that the staff has become more efficient to check-in and check out.,positive change staff become efficient check-in check .
318,72,0,The negative was that they have started charging for the ice buckets.,negative started charging ice buckets .
319,72,0,Imagine shelving out Rs 275 for a single ice bucket is robbing a person.,imagine shelving rs 275 single ice bucket robbing person .
320,72,0,"The management must reconsider the decision.
",management must reconsider decision .
321,73,0,"
The only reason im giving 4 star is coz its vegeterian hotel else in the price range its perfect hotel to spend time.",reason im giving 4 star coz vegeterian hotel else price range perfect hotel spend time .
322,73,0,"The pool side reasturant is really beautiful and rooms are really spacious
",pool side reasturant really beautiful rooms really spacious
323,74,0,"
Food was good but when we informed about more salt in pasta dish they started arguing to the extent that Chef came out and bugged us till we were at the exit to change the review.
",food good informed salt pasta dish started arguing extent chef came bugged us till exit change review .
324,75,-1,"
I am a vegan turn around from a non veg.",vegan turn around non veg .
325,75,0,"My choice of meals in most of the hotels, restaurants,dhabas had gone limited.The gravies used to be almost same for similar type dishes i.e.","choice meals hotels , restaurants , dhabas gone limited.the gravies used almost similar type dishes i.e ."
326,75,0,"Shahi paneer and malai kofta, dum aloo kashmiri and subz navratan and so on so forth.","shahi paneer malai kofta , dum aloo kashmiri subz navratan forth ."
327,75,2,"The buffet spread was almost common all the places, 4 to 7 dishes almost same in most of the places till by mistake i tried 64/6 the concept of eating changed to drooling tounge tasty tasty and tasty the only perfect vegan delight starting from chaat to salads (amazing creations) to mughlai, south indian thai chinese sorry could not eat any more tried pasta snacks to be precise repented why god made my hanging pot belly so small......over all a vegans delight .....","buffet spread almost common places , 4 7 dishes almost places till mistake tried 64/6 concept eating changed drooling tounge tasty tasty tasty perfect vegan delight starting chaat salads ( amazing creations ) mughlai , south indian thai chinese sorry could eat tried pasta snacks precise repented god made hanging pot belly small ... ... vegans delight ... .."
328,75,-1,"Try for once to undermine my taste buds
",try undermine taste buds
329,76,0,"
This i think is the only 5 star vegetarian hotel probably in the country the quality of food is simply mouthwatering .I would recommend it to all food lovers .
",think 5 star vegetarian hotel probably country quality food simply mouthwatering would recommend food lovers .
330,77,-1,"
I am not a vegetarian .",vegetarian .
331,77,0,But i have dined in their buffet lobby and as well as in alacart zone .,dined buffet lobby well alacart zone .
332,77,2,Punjabi food during punjabi food festival aloo gobi was definitely different and i enjoyed .,punjabi food punjabi food festival aloo gobi definitely different enjoyed .
333,77,1,In buffet section you have ample of variety right from starters to main course sweet dishes were limited .,buffet section ample variety right starters main course sweet dishes limited .
334,77,0,"If you really have to vegetarian guest with whom you want to dine country inn is the right place .
",really vegetarian guest want dine country inn right place .
335,78,0,"
Went there for buffet dinner last week with family.",went buffet dinner last week family .
336,78,-1,The buffet that you will find here has a lot to offer in terms of variety in your budget.,buffet find lot offer terms variety budget .
337,78,0,Ranging from street food to snacks to main course it has every possible thing you can think of.,ranging street food snacks main course every possible thing think .
338,78,0,"Sugarcane juice was something that i personally liked.It is an all vegetarian buffet so be prepared.Just one thing that i did not like was that there should have been more in the main course.otherwise a good deal nad good place for family outings.
",sugarcane juice something personally liked.it vegetarian buffet prepared.just one thing like main course.otherwise good deal nad good place family outings .
339,79,2,"
Amazing food especially the chocolate chip muffins and deserts .",amazing food especially chocolate chip muffins deserts .
340,79,0,Sambhar was a bit tasteless but overall I must say to give 4/5 ratings.,sambhar bit tasteless overall must say give 4/5 ratings .
341,79,2,"Extra points for hospitality and cleanliness too...
",extra points hospitality cleanliness ...
342,80,0,"
I celebrated by Parents 50th weddeing annuversary, it was wonderfull experience at Country Inn, It was beautifully decorated, & touching ambience.
","celebrated parents 50th weddeing annuversary , wonderfull experience country inn , beautifully decorated , & touching ambience ."
343,81,0,"
It is a big property with near to NCR.Have good arrangement for the corporates.You will get only veg food here.
",big property near ncr.have good arrangement corporates.you get veg food .
344,82,0,"
I am a regular visitor to country inn.",regular visitor country inn .
345,82,-1,The hotel serves only vegetarian food.,hotel serves vegetarian food .
346,82,0,Staff only responds when called upon.,staff responds called upon .
347,82,-1,Taste of food is good.,taste food good .
348,82,-1,Breakfast range is huge variety.,breakfast range huge variety .
349,82,0,"Will recommend if visiting for lunch and dinner order a-la-carte.
",recommend visiting lunch dinner order a-la-carte .
350,83,0,"
From the name, one expects a lot from the Carlson chain.The Country Inn & Suites at Sahibabad is run as a franchise for the original chain, and apart from looks, little else falls within the standards of the chain.To start with, rooms are barely kept-up.","name , one expects lot carlson chain.the country inn & suites sahibabad run franchise original chain , apart looks , little else falls within standards chain.to start , rooms barely kept-up ."
351,83,0,"Housekeeping could be better trained in their standards.Food is monotonous (the fare is almost the same everyday; even though the buffet is an expansive spread), and for those that prefer meats, stay away - the cuisine here is starkly vegetarian (because the owner prohibits it).","housekeeping could better trained standards.food monotonous ( fare almost everyday ; even though buffet expansive spread ) , prefer meats , stay away - cuisine starkly vegetarian ( owner prohibits ) ."
352,83,0,"One can't even get a non-veg pizza delivered from the neighbouring facility!While the concierge and management is courteous, the ambience maintained at the hotel is average.Would not like to suggest a stay here unless accommodation is JUST NOT AVAILABLE anywhere else.
","one ca n't even get non-veg pizza delivered neighbouring facility ! concierge management courteous , ambience maintained hotel average.would like suggest stay unless accommodation available anywhere else ."
353,84,2,"
Hiii... friends...",hiii ... friends ...
354,84,1,This Hotel is totally value for money... Worth staying in this property.,hotel totally value money ... worth staying property .
355,84,-1,Paradise for Vegetarian people.,paradise vegetarian people .
356,84,1,"U can enjoy weekends n holidays wid ur friends n Family..
",u enjoy weekends n holidays wid ur friends n family..
357,85,-1,"
When we went to the restaurant we didn't knew that it 100% vegetarian.",went restaurant n't knew 100 % vegetarian .
358,85,0,We had dinner buffet and the variety was huge.,dinner buffet variety huge .
359,85,0,Right from the starters to the main course every thing tasted well.,right starters main course every thing tasted well .
360,85,-1,my personal favorite was the dessert area.,personal favorite dessert area .
361,85,0,The ambiance was wonderful.,ambiance wonderful .
362,85,0,"All-together its a good decent place to go with family.
",all-together good decent place go family .
363,86,0,"
30 minutes for check in15 mn for check outWhen you have few hours to sleep it is a nightmare.",30 minutes check in15 mn check outwhen hours sleep nightmare .
364,86,0,"Crew members at looby obviously don't know words as ""hello"", ""please"",""thank you"".
","crew members looby obviously n't know words `` hello '' , `` please '' , '' thank '' ."
365,87,2,"
it is a good restaurant with very huge n good spread ...the only negative point it is that it is a only veg restaurant.so those who likes non veg it must b disappointing....otherise food here is very good......word of caution :- Ghaziabad IS NOT SAFE PLACE SO ANYBODY especially women n foreign nationals shall take extra care before coming here.hotel premises are safe but once u go out on roads its not safe...chain & purse snatching is very common in broad daylite & aftersunset avoid travelling by autos .
",good restaurant huge n good spread ... negative point veg restaurant.so likes non veg must b disappointing ... otherise food good ... ... word caution : - ghaziabad safe place anybody especially women n foreign nationals shall take extra care coming here.hotel premises safe u go roads safe ... chain & purse snatching common broad daylite & aftersunset avoid travelling autos .
366,88,0,"
I have stayed in july at hotel.",stayed july hotel .
367,88,0,Behavior of reception staff is very rude.,behavior reception staff rude .
368,88,0,Secondly if there is any foreigners are sitting there then they will not give you time to hear you .,secondly foreigners sitting give time hear .
369,88,0,"If you are late by 5 mintue in restaurant , and even you had requested to manager to provide food , they will rudely deny .","late 5 mintue restaurant , even requested manager provide food , rudely deny ."
370,88,0,"Very bad experience.
",bad experience .
371,89,0,"
Very slow service for alacart order.",slow service alacart order .
372,89,-1,We kept waiting for chapaties and all food turned cold.,kept waiting chapaties food turned cold .
373,89,0,And we got tired of waiting for chapaties.,got tired waiting chapaties .
374,89,0,Had to cancel order in between coz service was pathetic.,cancel order coz service pathetic .
375,89,0,"Not at all a good experience.
",good experience .
376,90,0,"
Strategically located, near Vaishali Metro Station & Nearby malls.","strategically located , near vaishali metro station & nearby malls ."
377,90,0,convenient to reach for visitors outside the city or country.,convenient reach visitors outside city country .
378,90,0,Spacious lobby & reception.,spacious lobby & reception .
379,90,0,While you are sitting at cafe or lounge you get amalgamated lively and peaceful feeling.,sitting cafe lounge get amalgamated lively peaceful feeling .
380,90,0,"Sharing a recent visit, I socialized with my friend for mere Rs.","sharing recent visit , socialized friend mere rs ."
381,90,0,"1000 as they have happy hours from 2100 to 2300, so do the maths.The best thing I liked about the hotel was that it's cafe is open 24x7.
","1000 happy hours 2100 2300 , maths.the best thing liked hotel cafe open 24x7 ."
382,91,0,"
Went last weekend with friends for dinner (buffet).",went last weekend friends dinner ( buffet ) .
383,91,0,Paid nearly 1300 (with taxes) for each person.The gol gappas were okay for starters.,paid nearly 1300 ( taxes ) person.the gol gappas okay starters .
384,91,0,"But, after that it was down hill.",", hill ."
385,91,-1,None of the things that we tried had a taste that lingered on or we remembered afterwards.,none things tried taste lingered remembered afterwards .
386,91,-1,We tried most things but the taste was passable.,tried things taste passable .
387,91,0,"The number of things was quite high, if one includes the 10 types of pickles and the murabbas that they had.","number things quite high , one includes 10 types pickles murabbas ."
388,91,0,"But, then quantity and quality should go hand in hand.Probably it's the Ghaziabad effect.",", quantity quality go hand hand.probably ghaziabad effect ."
389,91,0,"For the same price, one gets better quality in South Delhi.One thing to note is this place is 100 % vegetarian.","price , one gets better quality south delhi.one thing note place 100 % vegetarian ."
390,91,2,Commendable indeed !,commendable indeed !
391,91,0,"And, the restaurant was full, Saturday evening.
",", restaurant full , saturday evening ."
392,92,0,"
The Hotel is situated on good location.Specious party hall,excellent food,good service.Strongly recommended.
","hotel situated good location.specious party hall , excellent food , good service.strongly recommended ."
393,93,0,"
I stayed in the hotel for a week and enjoyed the stay.",stayed hotel week enjoyed stay .
394,93,2,Especially the pure vegetarian food.,especially pure vegetarian food .
395,93,0,They provide a good package with three meals.,provide good package three meals .
396,93,2,The buffet in the restaurant is nicely spread with almost hundreds of varieties.,buffet restaurant nicely spread almost hundreds varieties .
397,93,2,All vegetarian food.,vegetarian food .
398,93,0,The room is nicely done up with good service.,room nicely done good service .
399,93,0,The swimming pool & spa is worth using.,swimming pool & spa worth using .
400,93,0,"Overall a good hotel to choose.
",overall good hotel choose .
401,94,0,"
Though I haven't been to the place too often but attended few marriages which were chaotic.",though n't place often attended marriages chaotic .
402,94,0,The food was OK and the ambience was just like a normal banquet hall.,food ok ambience like normal banquet hall .
403,94,-1,The food served was not at appropriate temperature and was towards a sweeter side.,food served appropriate temperature towards sweeter side .
404,94,2,"Maybe I am more used to punjabi spicy food full of garlic and this place serves pure vegetarian food.
",maybe used punjabi spicy food full garlic place serves pure vegetarian food .
405,95,0,"
Place is a good in all aspects similar to most 4 star properties.",place good aspects similar 4 star properties .
406,95,2,The reason for the average tag in food is not that the quality is poor but that the hotel Is fully veg and no non Veg food is served.,reason average tag food quality poor hotel fully veg non veg food served .
407,95,0,The hotel does not have a bar and does not serve hard drinks (some time back).,hotel bar serve hard drinks ( time back ) .
408,95,-1,"Is a great place over all and with a slight reduction in prices would do well
",great place slight reduction prices would well
409,96,-1,"
At 3500 for room is more than value for money property in East Delhi.",3500 room value money property east delhi .
410,96,0,"Restaurant Tatva serves fine veg cuisine, bare with late table service.
","restaurant tatva serves fine veg cuisine , bare late table service ."
411,97,0,"
I have never seen these much of varities for Vegeterians.",never seen much varities vegeterians .
412,97,0,Food is of excellent quanlity.,food excellent quanlity .
413,97,0,The ambience was very graceful.,ambience graceful .
414,97,0,You can't stop yourself once you enter the restaurant.,ca n't stop enter restaurant .
415,97,-1,Explore the dishes.,explore dishes .
416,97,0,"The chats, desserts.","chats , desserts ."
417,97,0,"ice creams, OMG....
","ice creams , omg ... ."
418,98,-1,"
I have been to this place several times and mostly go to fine dining restaurant Tatva.",place several times mostly go fine dining restaurant tatva .
419,98,-1,Atmosphere and décor of this restaurant is worse than a Three Star restaurant.,atmosphere décor restaurant worse three star restaurant .
420,98,0,Food is good.,food good .
421,98,0,Dahi kababs that we ordered were liked by everyone.,dahi kababs ordered liked everyone .
422,98,0,Tomato Shorba was not served hot and lacked authenticity.,tomato shorba served hot lacked authenticity .
423,98,0,"Though most main dishes were good, rice was not properly cooked.","though main dishes good , rice properly cooked ."
424,98,2,Best item on the menu is Rose Kheer!!!,best item menu rose kheer ! ! !
425,98,0,"Made of rose petals, this is unique and specialty here.","made rose petals , unique specialty ."
426,98,-1,"Just too good!
",good !
427,99,0,"
The restaurant serves mind boggling variety of vegetarian food.We had opted for the lunch buffet.There was so much variety that we were unable to taste all the dishes.Right from the juices live counters of starters,South Indian,NorthIndian,continental Chinese amazing variety and lots and lots of sweets.On the whole a lovely gastronomic experience for us vegetarians!
","restaurant serves mind boggling variety vegetarian food.we opted lunch buffet.there much variety unable taste dishes.right juices live counters starters , south indian , northindian , continental chinese amazing variety lots lots sweets.on whole lovely gastronomic experience us vegetarians !"
428,100,0,"
We went to this hotel to have lunch.",went hotel lunch .
429,100,0,It was buffet lunch and pure veg also.,buffet lunch pure veg also .
430,100,2,We were amazed to see so much of varieties in veg food and the food was delicious.,amazed see much varieties veg food food delicious .
431,100,0,Staff is very courteous.,staff courteous .
432,100,0,My son wants to go again.,son wants go .
433,100,0,"We will definitely visit the hotel and have food again.
",definitely visit hotel food .
434,101,0,"
I would rate this place to be one of the best eating joints for vegetarians in NCR.",would rate place one best eating joints vegetarians ncr .
435,101,0,"LotS of variety, nice ambiance, very fair price and good service.","lots variety , nice ambiance , fair price good service ."
436,101,0,"It may be inconveniently located, but worthwhile visiting for family outing or get together.
","may inconveniently located , worthwhile visiting family outing get together ."
437,102,0,"
First time I had been there about 6-7 years back and then been there many more times.",first time 6-7 years back many times .
438,102,2,One place heaven for vegetarian people.,one place heaven vegetarian people .
439,102,-1,Even i being a hard-core non-vegetarian couldn't resist to over eat.,even hard-core non-vegetarian could n't resist eat .
440,102,1,140 to 150 dishes under one roof.,140 150 dishes one roof .
441,102,-1,"Each one better than the other.
",one better .
442,103,0,"
this seems to be one of the best and busiest hotel in the area with decent price range, near to metro.","seems one best busiest hotel area decent price range , near metro ."
443,103,0,Rooms are spacious and clean with clean carpets and as expected interiors.,rooms spacious clean clean carpets expected interiors .
444,103,2,Dinner and breakfast buffet being a vegetarian place is what you just cant expect.,dinner breakfast buffet vegetarian place cant expect .
445,103,0,Am sure u'll not miss your fav.,sure u ll miss fav .
446,103,-1,Non veg recipies here.,non veg recipies .
447,103,0,Wifi is complimentary and quite okay.,wifi complimentary quite okay .
448,103,0,Room service is a bit slow but there's no actual point where i can complain.,room service bit slow actual point complain .
449,103,0,"Strongly recommended.
",strongly recommended .
450,104,0,"
Its located near vaishali, sahibabad industrial area.","located near vaishali , sahibabad industrial area ."
451,104,0,Its a nice place for dinner or having a party.,nice place dinner party .
452,104,-1,100% veg.,100 % veg .
453,104,0,Staff is nice.,staff nice .
454,104,-1,Buffet is awesome.,buffet awesome .
455,104,0,It is a bit pricey.,bit pricey .
456,104,0,"Good place for family dinner.
",good place family dinner .
457,105,0,"
You may have travelled across India and may have tried various cuisines but unless you tru the Dinner Buffet here you have still not tried the best there is.",may travelled across india may tried various cuisines unless tru dinner buffet still tried best .
458,105,0,This is our fav family hangout when we want to have vegetarian only.,fav family hangout want vegetarian .
459,105,0,The Menu is different all the time and service impeccable.,menu different time service impeccable .
460,105,0,"Booking a table in advance is recommended.
",booking table advance recommended .
461,106,0,"
The hotel is one of the best in ghaziabad.",hotel one best ghaziabad .
462,106,0,Best part is spacious rooms.,best part spacious rooms .
463,106,-1,Excellent food in terms of food variety.,excellent food terms food variety .
464,106,0,Very good service.,good service .
465,106,0,"Only negative is that it is a vegetarian hotel and if you have work in delhi mostly then it's little far off from delhi u can waste lot of time travelling to delhi
",negative vegetarian hotel work delhi mostly little far delhi u waste lot time travelling delhi
466,107,0,"
A good place for a nice evening with good food and good ambience we had dinner in tatva and the gathering was almost 13 people and had really good time with good arrangement and nice food
",good place nice evening good food good ambience dinner tatva gathering almost 13 people really good time good arrangement nice food
467,108,0,"
Its one of the best 5 star veg food, covers North, South, Punjabi, Breads.","one best 5 star veg food , covers north , south , punjabi , breads ."
468,108,0,"Dhal Makhani, Jamun are one of the flagship food products.","dhal makhani , jamun one flagship food products ."
469,108,0,They also serve alcohol which is optional for visitor and has to pay for it.,also serve alcohol optional visitor pay .
470,108,0,"Ambiance is quite ok if not very good
",ambiance quite ok good
471,109,0,"
Though being in the city of Ghaziabad, hotel lives up to its name.","though city ghaziabad , hotel lives name ."
472,109,-1,The ambience from the entrance to the dining area (one of the restaurants) is beautiful.We opted for a buffet meal for six people.,ambience entrance dining area ( one restaurants ) beautiful.we opted buffet meal six people .
473,109,0,The food tasted really good and the delicacies were of huge variety.,food tasted really good delicacies huge variety .
474,109,0,"The pudding, the cakes, everything made up for a good treat for the taste buds as the meal ended.In all, a good experience.
","pudding , cakes , everything made good treat taste buds meal ended.in , good experience ."
475,110,0,"
Excellent food - the buffet is world class and totally vegetarian, perfect for me :)Excellent rooms, clean with good staff to help you.Excellent outdoor bar with tons of atmosphere.Terrible noise control from the excellent bar, made sleeping very difficult.Terrible wifi as well.
","excellent food - buffet world class totally vegetarian , perfect : ) excellent rooms , clean good staff help you.excellent outdoor bar tons atmosphere.terrible noise control excellent bar , made sleeping difficult.terrible wifi well ."
476,111,0,"
We went with family for a post Diwali lunch.",went family post diwali lunch .
477,111,0,The variety there was mind boggling and across cuisines from Indian to Italian to Chinese.,variety mind boggling across cuisines indian italian chinese .
478,111,-1,At the same time food items from salad/snacks/main course all around were tasty which is normally not the case if you have such a big spread.,time food items salad/snacks/main course around tasty normally case big spread .
479,111,0,"With good ambiance, food was thoroughly enjoyable.","good ambiance , food thoroughly enjoyable ."
480,111,0,"We had some pure non veg people in the group, who normally do not enjoy as much in place like this, ended up tasting and appreciating large part of buffet.","pure non veg people group , normally enjoy much place like , ended tasting appreciating large part buffet ."
481,111,1,"However only are of improvement could be the desserts section which could improve in variety and taste.Overall worth of money spent
",however improvement could desserts section could improve variety taste.overall worth money spent
482,112,0,"
This star hotel offers only Vegetarian food.",star hotel offers vegetarian food .
483,112,-1,This is served as unlimited buffet over a large dining area at -1 level of the lobby.,served unlimited buffet large dining area -1 level lobby .
484,112,0,"As you go down the stairs you would hit the traditional Indian snacks Pani-Puri, Papdi Chat, Tikki etc.","go stairs would hit traditional indian snacks pani-puri , papdi chat , tikki etc ."
485,112,0,"One corner of the restaurant serves all sorts of south Indian & Continental dishes, Starters, Juices, Ice-creams, soda etc.","one corner restaurant serves sorts south indian & continental dishes , starters , juices , ice-creams , soda etc ."
486,112,-1,One side is loaded with different sorts of Sweets.,one side loaded different sorts sweets .
487,112,0,"You would have a choice more than 50 different types of Indian & western sweets, other side of restaurant you can dig into different vegetables cooked in different Indian styles, Vegetarian Chinese cuisines if you have taste for it.","would choice 50 different types indian & western sweets , side restaurant dig different vegetables cooked different indian styles , vegetarian chinese cuisines taste ."
488,112,0,You would have choice of more than one dozens different salads and Indian breads are served hot from the oven.,would choice one dozens different salads indian breads served hot oven .
489,112,1,You can try anything in any quantity till you wish to try something else.,try anything quantity till wish try something else .
490,112,1,One person cannot even try one fourth of dishes even he/she take one spoon of food from the variety served.,one person even try one fourth dishes even he/she take one spoon food variety served .
491,112,-1,The food is cooked very well and is delicious to eat.,food cooked well delicious eat .
492,112,0,You would just love the place for the variety it offers.,would love place variety offers .
493,112,0,The place is normally full during the meals time.,place normally full meals time .
494,112,0,The support staff who have to maintain the tables are not quick to clean the tables.,support staff maintain tables quick clean tables .
495,112,1,You can see many tables with dishes even after guests have left.,see many tables dishes even guests left .
496,112,2,Since the place is large you can look for spare table to sit and enjoy your food.,since place large look spare table sit enjoy food .
497,112,2,The food is costing more than Rs 1400 per person which is slightly steep however this is a place where you get almost all types of Vegetarian dishes of India.,food costing rs 1400 per person slightly steep however place get almost types vegetarian dishes india .
498,112,2,"Place is worth trying for an excellent Vegetarian meal.
",place worth trying excellent vegetarian meal .
499,113,2,"
Overwhelmed by the lavish spread .The lunch buffet was awesome.Its an all vegetarian buffet, very rare .The food was delicious .","overwhelmed lavish spread lunch buffet awesome.its vegetarian buffet , rare food delicious ."
500,113,0,"Worth every rupee.
",worth every rupee .
501,114,0,"
Visited last week for dinner.",visited last week dinner .
502,114,0,"As soon as we exited our car in the portico, we were hit by a foul smell in the air.","soon exited car portico , hit foul smell air ."
503,114,0,Came to know that a drain passes just across the hotel frontage.,came know drain passes across hotel frontage .
504,114,0,The hotel cannot do anything about it.We went straight to tatva for dinner.,hotel anything it.we went straight tatva dinner .
505,114,0,"Ordered Dahi ke kebab which were soft as they should be, But nothing extraordinary with the taste.","ordered dahi ke kebab soft , nothing extraordinary taste ."
